,visit_day,restaurant,shift_category,max_guests TW,capacity,full TW,max_guests LW,full LW,max_guests vs LW,max_guests vs LW %
100,2020-12-09,Klosterhaus,LUNCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-12-09,Klosterhaus,DINNER,0.0,0.0,0.0,6.0,inf,-6.0,-1.0
102,2020-12-09,Launceston Place,LUNCH,9.0,46.0,0.1956521739130435,0.0,0.0,9.0,1.0
103,2020-12-09,Launceston Place,DINNER,22.0,46.0,0.4782608695652174,8.0,0.17391304347826086,14.0,1.75
104,2020-12-09,Madison Restaurant,LUNCH,0.0,183.0,0.0,0.0,0.0,0.0,0.0
105,2020-12-09,Madison Restaurant,DINNER,144.0,183.0,0.7868852459016393,38.0,0.20765027322404372,106.0,2.789473684210526
106,2020-12-09,New Street Grill,LUNCH,12.0,70.0,0.17142857142857143,0.0,0.0,12.0,1.0
107,2020-12-09,New Street Grill,DINNER,25.0,70.0,0.35714285714285715,10.0,0.14285714285714285,15.0,1.5
108,2020-12-09,Orrery,LUNCH,56.0,66.0,0.8484848484848485,0.0,0.0,56.0,1.0
109,2020-12-09,Orrery,DINNER,63.0,66.0,0.9545454545454546,34.0,0.5151515151515151,29.0,0.8529411764705883
110,2020-12-09,Paternoster Chophouse,LUNCH,29.0,56.0,0.5178571428571429,0.0,0.0,29.0,1.0
111,2020-12-09,Paternoster Chophouse,DINNER,31.0,56.0,0.5535714285714286,16.0,0.2857142857142857,15.0,0.9375
112,2020-12-09,Plateau,LUNCH,6.0,82.0,0.07317073170731707,0.0,0.0,6.0,1.0
113,2020-12-09,Plateau,DINNER,15.0,82.0,0.18292682926829268,6.0,0.07317073170731707,9.0,1.5
114,2020-12-09,Pont de la Tour,LUNCH,54.0,54.0,1.0,0.0,0.0,54.0,1.0
115,2020-12-09,Pont de la Tour,DINNER,113.0,54.0,2.0925925925925926,65.0,1.2037037037037037,48.0,0.7384615384615385
116,2020-12-09,Quaglino’s Restaurant,LUNCH,27.0,190.0,0.14210526315789473,0.0,0.0,27.0,1.0
117,2020-12-09,Quaglino’s Restaurant,DINNER,74.0,190.0,0.3894736842105263,48.0,0.25263157894736843,26.0,0.5416666666666667
118,2020-12-09,Radici,LUNCH,2.0,66.0,0.030303030303030304,0.0,0.0,2.0,1.0
119,2020-12-09,Radici,DINNER,28.0,66.0,0.42424242424242425,17.0,0.25757575757575757,11.0,0.6470588235294117
120,2020-12-09,Sartoria,LUNCH,32.0,90.0,0.35555555555555557,0.0,0.0,32.0,1.0
121,2020-12-09,Sartoria,DINNER,32.0,90.0,0.35555555555555557,22.0,0.24444444444444444,10.0,0.4545454545454546
122,2020-12-09,Skylon Restaurant,LUNCH,0.0,126.0,0.0,0.0,0.0,0.0,0.0
123,2020-12-09,Skylon Restaurant,DINNER,0.0,126.0,0.0,0.0,0.0,0.0,0.0
124,2020-12-09,South Place Chop House,LUNCH,13.0,56.0,0.23214285714285715,0.0,0.0,13.0,1.0
125,2020-12-09,South Place Chop House,DINNER,8.0,56.0,0.14285714285714285,10.0,0.17857142857142858,-2.0,-0.19999999999999996
126,2020-12-09,The Modern Pantry,LUNCH,11.0,75.0,0.14666666666666667,0.0,0.0,11.0,1.0
127,2020-12-09,The Modern Pantry,DINNER,5.0,75.0,0.06666666666666667,2.0,0.02666666666666667,3.0,1.5
128,2020-12-10,100 Wardour St,LUNCH,41.0,242.0,0.16942148760330578,0.0,0.0,41.0,1.0
129,2020-12-10,100 Wardour St,DINNER,100.0,242.0,0.4132231404958678,55.0,0.22727272727272727,45.0,0.8181818181818181
130,2020-12-10,14 Hills,LUNCH,106.0,110.0,0.9636363636363636,0.0,0.0,106.0,1.0
131,2020-12-10,14 Hills,DINNER,124.0,110.0,1.1272727272727272,96.0,0.8727272727272727,28.0,0.29166666666666674
132,2020-12-10,20 Stories,LUNCH,0.0,106.0,0.0,0.0,0.0,0.0,0.0
133,2020-12-10,20 Stories,DINNER,0.0,106.0,0.0,0.0,0.0,0.0,0.0
134,2020-12-10,Angelica,LUNCH,0.0,47.0,0.0,0.0,0.0,0.0,0.0
135,2020-12-10,Angelica,DINNER,0.0,47.0,0.0,0.0,0.0,0.0,0.0
136,2020-12-10,Angler Restaurant,LUNCH,34.0,52.0,0.6538461538461539,0.0,0.0,34.0,1.0
137,2020-12-10,Angler Restaurant,DINNER,32.0,52.0,0.6153846153846154,23.0,0.4423076923076923,9.0,0.3913043478260869
138,2020-12-10,Aster,LUNCH,21.0,52.0,0.40384615384615385,0.0,0.0,21.0,1.0
139,2020-12-10,Aster,DINNER,27.0,52.0,0.5192307692307693,4.0,0.07692307692307693,23.0,5.75
140,2020-12-10,Avenue,LUNCH,20.0,84.0,0.23809523809523808,0.0,0.0,20.0,1.0
141,2020-12-10,Avenue,DINNER,5.0,84.0,0.05952380952380952,0.0,0.0,5.0,1.0
142,2020-12-10,Bluebird Chelsea Restaurant,LUNCH,47.0,139.0,0.3381294964028777,0.0,0.0,47.0,1.0
143,2020-12-10,Bluebird Chelsea Restaurant,DINNER,142.0,139.0,1.0215827338129497,85.0,0.6115107913669064,57.0,0.6705882352941177
144,2020-12-10,Bluebird White City,LUNCH,0.0,82.0,0.0,0.0,0.0,0.0,0.0
