,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
74,14 Hills,Four Weeks,Monday,0.0,2.0,2.0,-2.0,-1.0,-2.0,-1.0
1196,14 Hills,Four Weeks,Tuesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1197,14 Hills,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
77,14 Hills,Four Weeks,Thursday,0.0,2.0,2.0,-2.0,-1.0,-2.0,-1.0
73,14 Hills,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
75,14 Hills,Four Weeks,Saturday,0.0,6.0,4.0,-6.0,-1.0,-4.0,-1.0
76,14 Hills,Four Weeks,Sunday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
11,14 Hills,Four Weeks,Full Week,0.0,14.0,10.0,-14.0,-1.0,-10.0,-1.0
69,14 Hills,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1484,14 Hills,Five Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1485,14 Hills,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
72,14 Hills,Five Weeks,Thursday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
1195,14 Hills,Five Weeks,Friday,0.0,0.0,5.0,0.0,1.0,-5.0,-1.0
70,14 Hills,Five Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71,14 Hills,Five Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,14 Hills,Five Weeks,Full Week,6.0,0.0,5.0,6.0,6.0,1.0,0.2
1489,14 Hills,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1490,14 Hills,Six Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1491,14 Hills,Six Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1198,14 Hills,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1488,14 Hills,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90,14 Hills,Six Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
91,14 Hills,Six Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
14,14 Hills,Six Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
86,14 Hills,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1486,14 Hills,Seven Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1487,14 Hills,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
89,14 Hills,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85,14 Hills,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
87,14 Hills,Seven Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
88,14 Hills,Seven Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,14 Hills,Seven Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1192,14 Hills,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1483,14 Hills,Eight Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1194,14 Hills,Eight Weeks,Thursday,0.0,2.0,-11.0,-2.0,-1.0,11.0,-1.0
1191,14 Hills,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
68,14 Hills,Eight Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1193,14 Hills,Eight Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,14 Hills,Eight Weeks,Full Week,0.0,2.0,-11.0,-2.0,-1.0,11.0,-1.0
1500,20 Stories,This Week,Tuesday,0.0,0.0,25.0,0.0,1.0,-25.0,-1.0
1501,20 Stories,This Week,Wednesday,0.0,0.0,12.0,0.0,1.0,-12.0,-1.0
1499,20 Stories,This Week,Thursday,0.0,0.0,34.0,0.0,1.0,-34.0,-1.0
1496,20 Stories,This Week,Friday,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0
1497,20 Stories,This Week,Saturday,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0
1498,20 Stories,This Week,Sunday,0.0,0.0,20.0,0.0,1.0,-20.0,-1.0
24,20 Stories,This Week,Full Week,0.0,0.0,93.0,0.0,1.0,-93.0,-1.0
1493,20 Stories,Next Week,Monday,0.0,0.0,7.0,0.0,1.0,-7.0,-1.0
1494,20 Stories,Next Week,Tuesday,0.0,0.0,10.0,0.0,1.0,-10.0,-1.0
139,20 Stories,Next Week,Wednesday,4.0,0.0,4.0,4.0,4.0,0.0,0.25
138,20 Stories,Next Week,Thursday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
135,20 Stories,Next Week,Friday,0.0,0.0,12.0,0.0,1.0,-12.0,-1.0
136,20 Stories,Next Week,Saturday,10.0,0.0,10.0,10.0,10.0,0.0,0.1
137,20 Stories,Next Week,Sunday,2.0,0.0,8.0,2.0,2.0,-6.0,-0.75
21,20 Stories,Next Week,Full Week,16.0,0.0,53.0,16.0,16.0,-37.0,-0.6981132075471698
157,20 Stories,Two Weeks,Monday,1.0,0.0,24.0,1.0,1.0,-23.0,-0.9583333333333334
161,20 Stories,Two Weeks,Tuesday,12.0,0.0,4.0,12.0,12.0,8.0,2.0
162,20 Stories,Two Weeks,Wednesday,9.0,-6.0,9.0,15.0,-2.5,0.0,0.1111111111111111
160,20 Stories,Two Weeks,Thursday,4.0,0.0,12.0,4.0,4.0,-8.0,-0.6666666666666666
156,20 Stories,Two Weeks,Friday,2.0,17.0,-3.0,-15.0,-0.8823529411764706,5.0,-1.6666666666666667
158,20 Stories,Two Weeks,Saturday,5.0,26.0,25.0,-21.0,-0.8076923076923077,-20.0,-0.8
159,20 Stories,Two Weeks,Sunday,0.0,17.0,6.0,-17.0,-1.0,-6.0,-1.0
26,20 Stories,Two Weeks,Full Week,33.0,54.0,77.0,-21.0,-0.3888888888888889,-44.0,-0.5714285714285714
150,20 Stories,Three Weeks,Monday,6.0,14.0,1.0,-8.0,-0.5714285714285714,5.0,5.0
154,20 Stories,Three Weeks,Tuesday,9.0,3.0,-2.0,6.0,2.0,11.0,-5.5
155,20 Stories,Three Weeks,Wednesday,0.0,8.0,0.0,-8.0,-1.0,0.0,1.0
